feature,excluded_study,final_coef,lodo_coef,selected_in_lodo,sign_concordant
Actinobaculum_sp_oral_taxon_183,ArmstrongA_2021,0.00550909093906685,,FALSE,
Actinobaculum_sp_oral_taxon_183,BelstromD_2017,0.00550909093906685,,FALSE,
Actinobaculum_sp_oral_taxon_183,BostanciN_2021,0.00550909093906685,0.0145851434943827,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,BuschartA_2016,0.00550909093906685,0.0108704316032419,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,Castro-NallarE_2015,0.00550909093906685,0.00327910050671231,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,ChenBY_2023,0.00550909093906685,0.0203244255284571,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,ChenLW_2022,0.00550909093906685,0.00965137451260741,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,CuiJ_2019,0.00550909093906685,,FALSE,
Actinobaculum_sp_oral_taxon_183,JiangQ_2021,0.00550909093906685,0.0126483028346995,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,LiYJ_2023,0.00550909093906685,0.00210927319781407,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,preprint_CastilhosJ_2021,0.00550909093906685,0.000559035731110764,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,ShaiberA_2020,0.00550909093906685,0.00167318944630835,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,VQuintanaL_2024,0.00550909093906685,,FALSE,
Actinobaculum_sp_oral_taxon_183,ZellerG_2014,0.00550909093906685,0.0182902479359728,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,ZhangDY_2015,0.00550909093906685,0.0072797018053332,TRUE,TRUE
Actinobaculum_sp_oral_taxon_183,ZhuJY_2023,0.00550909093906685,0.0113372583830995,TRUE,TRUE
Actinomyces_massiliensis,ArmstrongA_2021,0.0397801325095353,0.0326008184014487,TRUE,TRUE
Actinomyces_massiliensis,BelstromD_2017,0.0397801325095353,0.0320156779443502,TRUE,TRUE
Actinomyces_massiliensis,BostanciN_2021,0.0397801325095353,0.042630974156864,TRUE,TRUE
Actinomyces_massiliensis,BuschartA_2016,0.0397801325095353,,FALSE,
Actinomyces_massiliensis,Castro-NallarE_2015,0.0397801325095353,0.0386849021115863,TRUE,TRUE
Actinomyces_massiliensis,ChenBY_2023,0.0397801325095353,,FALSE,
Actinomyces_massiliensis,ChenLW_2022,0.0397801325095353,0.0372670844708837,TRUE,TRUE
Actinomyces_massiliensis,CuiJ_2019,0.0397801325095353,0.0446692616105021,TRUE,TRUE
Actinomyces_massiliensis,JiangQ_2021,0.0397801325095353,,FALSE,
Actinomyces_massiliensis,LiYJ_2023,0.0397801325095353,0.0386187378956806,TRUE,TRUE
Actinomyces_massiliensis,preprint_CastilhosJ_2021,0.0397801325095353,0.0463109563352034,TRUE,TRUE
Actinomyces_massiliensis,ShaiberA_2020,0.0397801325095353,0.0301774776058028,TRUE,TRUE
Actinomyces_massiliensis,VQuintanaL_2024,0.0397801325095353,0.0343303301241898,TRUE,TRUE
Actinomyces_massiliensis,ZellerG_2014,0.0397801325095353,,FALSE,
Actinomyces_massiliensis,ZhangDY_2015,0.0397801325095353,,FALSE,
Actinomyces_massiliensis,ZhuJY_2023,0.0397801325095353,,FALSE,
Actinomyces_sp_oral_taxon_448,ArmstrongA_2021,-0.0143643400333184,-0.00748423125141411,TRUE,TRUE
Actinomyces_sp_oral_taxon_448,BelstromD_2017,-0.0143643400333184,,FALSE,
Actinomyces_sp_oral_taxon_448,BostanciN_2021,-0.0143643400333184,-0.0307272819797318,TRUE,TRUE
Actinomyces_sp_oral_taxon_448,BuschartA_2016,-0.0143643400333184,,FALSE,
Actinomyces_sp_oral_taxon_448,Castro-NallarE_2015,-0.0143643400333184,-0.00933740020216447,TRUE,TRUE
Actinomyces_sp_oral_taxon_448,ChenBY_2023,-0.0143643400333184,,FALSE,
Actinomyces_sp_oral_taxon_448,ChenLW_2022,-0.0143643400333184,-0.0248433390224858,TRUE,TRUE
Actinomyces_sp_oral_taxon_448,CuiJ_2019,-0.0143643400333184,-0.0131262504238573,TRUE,TRUE
Actinomyces_sp_oral_taxon_448,JiangQ_2021,-0.0143643400333184,-0.00133314827943315,TRUE,TRUE
Actinomyces_sp_oral_taxon_448,LiYJ_2023,-0.0143643400333184,-0.0159975054562029,TRUE,TRUE
